technique_id,technique_name,tactics,covered,enforcement_mechanism,airlock_control,testable,test_case,limitations
T1485,Data Destruction,impact,Yes,"Custom wiper tools blocked by default-deny. Built-in destruction tools (format.com, cipher.exe) restrictable via blocklist metarule.",default-deny + blocklist-metarule,yes,1) Custom wiper -> blocked. 2) Blocklist format.com for non-admins. 3) Blocklist cipher.exe for non-admins.,del command runs inside trusted cmd.exe — hard to blocklist del specifically without blocking cmd. Blocklist cmd.exe for non-admins for maximum restriction.
T1486,Data Encrypted for Impact,impact,Yes,Data encrypted for impact (ransomware). Ransomware executable must be trusted. This is Airlock's marquee use case.,default-deny,yes,Ransomware exe dropped via any method -> blocked. Ransomware DLL -> blocked. Ransomware script -> blocked.,"Ransomware running inside already-trusted process (e.g., after injection) not caught."
T1489,Service Stop,impact,Yes,sc.exe and net.exe for service stopping: restrictable via blocklist metarule. Airlock agent specifically protected by kernel driver against stop attempts.,agent-tamper-protection + blocklist-metarule,yes,1) Attempt to stop Airlock agent -> kernel driver prevents. 2) Blocklist sc.exe for non-admins. 3) Blocklist net.exe for non-admins (blocks net stop).,Admin-exempted users can still stop services. Airlock agent protected regardless.
T1490,Inhibit System Recovery,impact,Yes,vssadmin.exe and bcdedit.exe: restrict via blocklist metarule for non-admins. Prevents shadow copy deletion and boot config modification — key ransomware precursors.,blocklist-metarule,yes,1) Blocklist vssadmin.exe for non-admins -> prevents 'vssadmin delete shadows'. 2) Blocklist bcdedit.exe for non-admins -> prevents boot config tampering. 3) Blocklist wbadmin.exe for non-admins -> prevents backup deletion.,Admin-exempted users can still use these. PowerShell WMI shadow copy deletion possible if PS trusted.
T1491,Defacement,impact,No,Defacement. Modifying content. Data operation.,none,no,N/A.,
T1491.001,Internal Defacement,impact,No,Internal defacement. Data modification.,none,no,N/A.,
T1491.002,External Defacement,impact,No,External defacement. Server-side.,none,no,N/A.,
T1495,Firmware Corruption,impact,No,Firmware corruption. Below OS. Hardware/firmware level.,none,no,N/A.,"If firmware update tool is untrusted, blocked."
T1496,Resource Hijacking,impact,No,Resource hijacking (parent). Cryptominer must be trusted.,default-deny,partial,Cryptominer exe -> blocked.,Miner in trusted process (JS in browser) not caught.
T1496.001,Compute Hijacking,impact,Yes,Cryptominer executables must be trusted. xmrig and similar tools blocked by default-deny.,default-deny,yes,xmrig.exe not allowlisted -> blocked.,Browser-based miners (JS in page) not caught — runs inside trusted browser process.
T1496.002,Bandwidth Hijacking,impact,No,Bandwidth hijacking. Network-level.,none,no,N/A.,
T1497,Virtualization/Sandbox Evasion,"defense-evasion,discovery",No,"VM/sandbox evasion checks. If malware is untrusted, blocked before it can check.",default-deny (indirect),yes,N/A.,
T1497.001,System Checks,"defense-evasion,discovery",No,System checks. Same.,default-deny (indirect),yes,Same.,
T1497.002,User Activity Based Checks,"defense-evasion,discovery",No,User activity checks. Same.,default-deny (indirect),yes,Same.,
T1497.003,Time Based Checks,"defense-evasion,discovery",No,Time based checks. Same.,default-deny (indirect),yes,Same.,
T1498,Network Denial of Service,impact,No,Network DoS. Network-level.,none,no,N/A.,
T1498.001,Direct Network Flood,impact,No,Direct network flood. Network.,none,no,N/A.,
T1498.002,Reflection Amplification,impact,No,Reflection amplification. Network.,none,no,N/A.,
T1499,Endpoint Denial of Service,impact,No,Endpoint DoS. Resource exhaustion. Behavioral.,none,no,N/A.,DoS tool must be trusted.
T1499.001,OS Exhaustion Flood,impact,No,OS exhaustion flood. Network/resource.,none,no,N/A.,
T1499.002,Service Exhaustion Flood,impact,No,Service exhaustion flood. Network.,none,no,N/A.,
T1499.003,Application Exhaustion Flood,impact,No,Application exhaustion flood. Network.,none,no,N/A.,
T1499.004,Application or System Exploitation,impact,No,Application/system exploitation. Exploit. In-memory.,none,no,N/A.,
T1505,Server Software Component,persistence,Yes,Web shell scripts (.aspx/.asp/.php) blocked by script control if file type is configured. Compiled DLL components blocked by DLL control. Airlock deploys to servers — web shells and malicious IIS/Exchange components are directly controlled.,script-control + DLL-control,yes,Upload untrusted .aspx web shell -> blocked by script control. Untrusted IIS module DLL -> blocked.,Script control must cover the relevant web script file types.
T1505.001,SQL Stored Procedures,persistence,No,SQL stored procedures. Inside trusted SQL Server. No file execution.,none,no,N/A.,xp_cmdshell spawning processes -> those processes checked.
T1505.002,Transport Agent,persistence,Yes,Transport agent. Exchange transport agent DLL. Must be trusted.,DLL-control,yes,Untrusted transport agent DLL -> blocked at load.,Exchange-specific.
T1505.003,Web Shell,persistence,Yes,"Web shells. Script files deployed to web server. If type covered by script control, blocked. Compiled DLLs blocked.",script-control + DLL-control,partial,Upload untrusted .aspx with script control -> blocked.,Requires script control for web script types.
T1505.004,IIS Components,persistence,Yes,IIS native modules (DLL). Must be trusted.,DLL-control,yes,Install untrusted IIS module DLL -> blocked.,Module registration not prevented.
T1505.005,Terminal Services DLL,persistence,Yes,Terminal services DLL. Must be trusted to load.,DLL-control,yes,Untrusted terminal services DLL -> blocked.,
T1518,Software Discovery,discovery,No,Software discovery. Reading installed software. Data operation.,none,no,N/A.,
T1518.001,Security Software Discovery,discovery,No,Security software discovery. Same.,none,no,N/A.,
T1518.002,Backup Software Discovery,discovery,No,Backup software discovery. Same.,none,no,N/A.,
T1529,System Shutdown/Reboot,impact,Yes,shutdown.exe restrictable via blocklist metarule.,blocklist-metarule,yes,Blocklist shutdown.exe for non-admins.,Forced reboot via other methods (API calls from trusted process) not caught.
T1531,Account Access Removal,impact,No,Account access removal. Identity operation.,none,no,N/A.,
T1534,Internal Spearphishing,lateral-movement,Yes,Internal spearphishing. Phishing from compromised internal account. Payload must be trusted.,default-deny + script-control,yes,Internal phishing email with malicious attachment -> blocked on victim.,Email delivery not prevented.
T1539,Steal Web Session Cookie,credential-access,No,Steal web session cookie. Browser data access. No new file execution typically.,none,no,N/A.,"If cookie stealer tool is untrusted, blocked."
T1542,Pre-OS Boot,"defense-evasion,persistence",No,Pre-OS boot. Firmware/bootkit operates below OS. Airlock kernel driver loads after OS boot.,none,no,N/A - below OS level.,Secure Boot is the control here.
T1542.001,System Firmware,"defense-evasion,persistence",No,System firmware. Below OS.,none,no,N/A.,UEFI security.
T1542.002,Component Firmware,"defense-evasion,persistence",No,Component firmware. Below OS.,none,no,N/A.,Hardware security.
T1542.003,Bootkit,"defense-evasion,persistence",No,Bootkit. Below OS level.,none,no,N/A.,Secure Boot/ELAM territory.
T1543,Create or Modify System Process,"persistence,privilege-escalation",Yes,Service creation succeeds (sc create not prevented). Service binary blocked at start if untrusted. sc.exe can be blocklisted for non-admins.,default-deny,yes,sc create evilsvc binPath= C:\Temp\evil.exe -> creation OK. sc start evilsvc -> binary blocked.,"Service registration not prevented. Airlock controls the execution of the service binary, not the service configuration."
T1543.003,Windows Service,"persistence,privilege-escalation",Yes,Windows Service. Binary/DLL must be trusted. Service DLLs via svchost blocked. sc.exe blocklist-controllable.,default-deny + DLL-control + blocklist,yes,1) sc create unsigned exe -> start blocked. 2) Malicious svchost service DLL -> blocked. 3) Blocklist sc.exe for non-admins.,Service creation not prevented.
T1546,Event Triggered Execution,"persistence,privilege-escalation",Yes,Event triggered execution (parent). Code launched by event triggers must be trusted.,default-deny + script-control + DLL-control,yes,"Varies by sub-technique. Trigger registers OK, payload blocked.",
T1546.001,Change Default File Association,"persistence,privilege-escalation",Yes,Change default file association. Handler exe must be trusted.,default-deny,yes,assoc .txt to evil handler exe -> exe blocked when .txt opened.,Reg mod not prevented.
T1546.002,Screensaver,"persistence,privilege-escalation",Yes,Screensaver .scr (PE executable). Must be trusted.,default-deny,yes,Set screensaver to untrusted .scr -> blocked on activation.,".scr files are PE executables, full allowlist enforcement."
T1546.003,Windows Management Instrumentation Event Subscription,"persistence,privilege-escalation",Yes,WMI event subscription. Payload launched by wmiprvse must be trusted. Script payloads via script control.,default-deny + script-control,yes,WMI event sub launching unsigned exe -> blocked when event fires.,Subscription creation not prevented.
T1546.007,Netsh Helper DLL,"persistence,privilege-escalation",Yes,Netsh helper DLL. Must be trusted to load.,DLL-control,yes,netsh add helper unsigned.dll -> blocked at load.,"netsh.exe trusted; DLL registration succeeds, load blocked."
T1546.008,Accessibility Features,"persistence,privilege-escalation",Yes,"Accessibility features (sethc.exe, utilman.exe). Replacement binary must be trusted by hash. Blocklist metarule on original_filename catches renamed trusted tools (e.g., cmd.exe renamed to sethc.exe).",default-deny,yes,Replace sethc.exe with untrusted binary -> blocked at lock screen activation. Blocklist original_filename 'cmd' -> catches cmd.exe renamed to sethc.exe.,"If attacker copies a trusted binary with matching hash, it runs. Original filename metarule is the defense against renamed trusted tools."
T1546.009,AppCert DLLs,"persistence,privilege-escalation",Yes,AppCert DLLs. Loaded into every CreateProcess caller. Must be trusted.,DLL-control,yes,Register untrusted AppCert DLL -> blocked at load.,Reg mod not prevented.
T1546.010,AppInit DLLs,"persistence,privilege-escalation",Yes,AppInit DLLs. Loaded into user-mode processes. Must be trusted.,DLL-control,yes,Register untrusted AppInit DLL -> blocked.,Disabled by default with Secure Boot.
T1546.011,Application Shimming,"persistence,privilege-escalation",Yes,Application shimming. sdbinst.exe can be blocklisted. Shim-loaded DLLs must be trusted.,DLL-control + blocklist,yes,1) Blocklist sdbinst.exe. 2) Shim loading untrusted DLL -> blocked.,"If shim redirects to trusted binary, not inspected."
T1546.012,Image File Execution Options Injection,"persistence,privilege-escalation",Yes,IFEO debugger. Debugger binary must be trusted.,default-deny,yes,IFEO debugger set to unsigned exe -> blocked when target launched.,Reg mod not prevented. Trusted debugger (cmd.exe) runs.
T1546.013,PowerShell Profile,"persistence,privilege-escalation",Yes,PowerShell profile. profile.ps1 must be trusted via script control.,script-control,yes,Drop malicious profile.ps1 -> blocked at PS startup if untrusted.,"If profile is path-trusted, runs. Audit path rules."
T1546.015,Component Object Model Hijacking,"persistence,privilege-escalation",Yes,COM hijacking. Malicious DLL registered as COM object. Must be trusted.,DLL-control,yes,Untrusted DLL as COM object -> blocked when instantiated.,Reg mod not prevented.
T1546.016,Installer Packages,"persistence,privilege-escalation",Yes,Installer packages (MSI). Blocked via script control (MSI is covered type).,script-control,yes,Drop untrusted .msi -> blocked.,Trusted-signed MSIs from trusted publishers install normally.
T1546.018,Python Startup Hooks,"persistence,privilege-escalation",Yes,Python startup hooks. Python interpreter must be allowlisted. Startup hook .py must be trusted via script control.,script-control + default-deny,yes,1) python.exe not allowlisted -> blocked. 2) Untrusted startup .py -> blocked.,"If python trusted and hook in trusted path, runs."
T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation",Yes,"Autostart registration (reg keys, startup folder) not prevented. Payload blocked at boot/logon when execution is attempted.",default-deny + DLL-control,yes,"reg add HKCU\...\Run /v evil /d C:\Temp\mal.exe -> registration succeeds, mal.exe blocked at logon.","Registration mechanism not prevented. Airlock controls the execution of the payload, not the persistence setup."
T1547.001,Registry Run Keys / Startup Folder,"persistence,privilege-escalation",Yes,Registry Run keys / Startup folder. Target exe must be trusted.,default-deny,yes,1) Run key to unsigned exe -> blocked at logon. 2) Startup folder shortcut to unsigned exe -> blocked.,Reg/folder modification not prevented.
T1547.002,Authentication Package,"persistence,privilege-escalation",Yes,Authentication package DLL. Loaded by lsass. Must be trusted.,DLL-control,yes,Register untrusted auth package DLL -> blocked at load.,Reg mod not prevented.
T1547.003,Time Providers,"persistence,privilege-escalation",Yes,Time providers DLL. Loaded by w32time. Must be trusted.,DLL-control,yes,Register untrusted time provider DLL -> blocked.,Reg mod not prevented.
T1547.004,Winlogon Helper DLL,"persistence,privilege-escalation",Yes,Winlogon helper DLL. Loaded at logon. Must be trusted.,DLL-control,yes,Untrusted Winlogon helper DLL -> blocked at logon.,Reg mod not prevented.
T1547.005,Security Support Provider,"persistence,privilege-escalation",Yes,Security Support Provider DLL. Loaded by lsass. Must be trusted.,DLL-control,yes,Untrusted SSP DLL -> blocked.,Reg mod not prevented.
T1547.008,LSASS Driver,"persistence,privilege-escalation",Yes,LSASS driver must be trusted to load. Airlock kernel driver intercepts driver loads. Microsoft Recommended Driver Block Rules predefined blocklist available for known malicious drivers.,default-deny + blocklist (predefined),yes,1) Untrusted driver -> blocked at load. 2) Import MS Driver Block Rules -> known bad drivers blocked even if signed.,Drivers signed by trusted publishers load normally. Driver Block Rules predefined list covers known bad ones.
T1547.009,Shortcut Modification,"persistence,privilege-escalation",Yes,Shortcut modification. Target exe must be trusted.,default-deny,yes,Modified shortcut to unsigned exe -> blocked when used.,Shortcut modification not prevented.
T1547.010,Port Monitors,"persistence,privilege-escalation",Yes,Port monitors DLL. Loaded by spoolsv.exe. Must be trusted.,DLL-control,yes,Untrusted port monitor DLL -> blocked.,Reg mod not prevented.
T1547.012,Print Processors,"persistence,privilege-escalation",Yes,Print processors DLL. Loaded by spoolsv.exe. Must be trusted.,DLL-control,yes,Untrusted print processor DLL -> blocked.,Reg mod not prevented.
T1547.014,Active Setup,"persistence,privilege-escalation",Yes,Active Setup. StubPath exe must be trusted.,default-deny,yes,Active Setup StubPath to unsigned exe -> blocked at logon.,Reg mod not prevented.
T1548,Abuse Elevation Control Mechanism,"defense-evasion,privilege-escalation",Yes,UAC bypass techniques often involve DLL hijacking in auto-elevate apps or registry modification pointing to untrusted payload. DLL control blocks hijacked DLLs. Untrusted payloads from registry-based bypasses blocked.,default-deny,partial,1) UAC bypass via DLL hijack in auto-elevate app -> DLL blocked. 2) fodhelper.exe reg key to unsigned exe -> exe blocked.,Registry-based bypasses where payload is a trusted binary (cmd.exe) succeed — use blocklist to restrict.
T1548.002,Bypass User Account Control,"defense-evasion,privilege-escalation",Yes,"UAC bypass. Various methods: DLL hijacking in auto-elevate apps (DLL must be trusted), mock trusted dirs, fodhelper.exe registry abuse. DLL hijack UAC bypasses caught by DLL control. Registry-based UAC bypasses using trusted auto-elevate binaries: the trusted binary runs, but any untrusted payload it loads is blocked.",DLL-control + default-deny,yes,1) UAC bypass via DLL hijack in auto-elevate app -> DLL blocked. 2) fodhelper.exe reg key to unsigned exe -> exe blocked. 3) Blocklist common UAC bypass tools.,"Registry-based bypasses where payload is trusted binary (e.g., cmd.exe) succeed. Use blocklist to restrict."
T1550,Use Alternate Authentication Material,"defense-evasion,lateral-movement",No,Use alternate auth material (parent). Credential reuse. Identity plane.,none,no,N/A.,"Post-auth, tools attacker runs are checked."
T1550.002,Pass the Hash,"defense-evasion,lateral-movement",No,Pass the hash. Credential technique. No new file execution required if using trusted tools.,none,no,N/A.,"If PtH tool (mimikatz) is untrusted, tool itself blocked."
T1550.003,Pass the Ticket,"defense-evasion,lateral-movement",No,Pass the ticket. Same as PtH.,none,no,N/A.,
T1552,Unsecured Credentials,credential-access,No,Unsecured credentials (parent). Reading files/registry for credentials. Data access via trusted tools.,none,no,N/A.,
T1552.001,Credentials In Files,credential-access,No,Credentials in files. Reading files. Data operation.,none,no,N/A.,
T1552.002,Credentials in Registry,credential-access,No,Credentials in registry. reg query. Trusted tool.,none,no,N/A.,
T1552.003,Shell History,credential-access,No,Shell history. Reading history files. Data operation.,none,no,N/A.,
T1552.004,Private Keys,credential-access,No,Private keys. Reading key files. Data operation.,none,no,N/A.,
T1552.006,Group Policy Preferences,credential-access,No,Group policy preferences. Reading GPP XML. Data operation.,none,no,N/A.,
T1553,Subvert Trust Controls,defense-evasion,No,"Subvert trust controls. Techniques targeting trust verification mechanisms. Airlock performs its own trust verification independent of Windows, but this is about undermining trust models broadly.",default-deny + publisher-trust,partial,N/A.,Publisher trust compromise (attacker gets valid code signing cert) is the fundamental risk. See T1553.002.
T1553.002,Code Signing,defense-evasion,No,"Code signing. Attacker signs malware with legitimate cert. If that cert's publisher is trusted in Airlock, malware passes. This is a fundamental trust model risk for publisher-based trust.",publisher-trust,partial,Malware signed by trusted publisher -> allowed. Unsigned -> blocked.,Publisher trust trade-off. Hash trust is more granular but harder to manage.
T1553.003,SIP and Trust Provider Hijacking,defense-evasion,No,"SIP/Trust Provider hijacking modifies Windows signature verification. Airlock's own publisher verification may use independent path, but this needs lab validation.",publisher-trust (independent),partial,Needs lab testing to confirm Airlock's signature verification independence from SIP providers.,Uncertain. Treat as not covered until validated.
T1553.004,Install Root Certificate,defense-evasion,No,"Install root certificate. Adding trusted CA. Airlock publisher trust verifies code signing certificates, not web/TLS certs. Custom code signing certs trusted by Airlock are explicitly added by admin.",publisher-trust,no,N/A - Airlock admin must explicitly trust publishers.,Airlock doesn't auto-trust based on system cert store for execution decisions.
T1553.005,Mark-of-the-Web Bypass,defense-evasion,No,Mark-of-the-Web bypass. MOTW is a Windows security feature. Airlock doesn't rely on MOTW for trust decisions - it hashes files regardless.,default-deny,yes,File with or without MOTW -> Airlock hashes and checks regardless.,MOTW bypass is irrelevant to Airlock's enforcement model.
T1553.006,Code Signing Policy Modification,defense-evasion,No,Code signing policy modification. Modifying Windows code signing enforcement. Airlock's enforcement is independent of Windows code signing policy.,default-deny (independent),partial,Airlock enforces regardless of Windows code signing policy state.,Airlock operates its own trust model.
T1554,Compromise Host Software Binary,persistence,Yes,"Replacing a trusted binary with malicious version. If hash changes (it will), new binary must be trusted. Publisher trust: if attacker signs with different cert, blocked.",default-deny,yes,Replace trusted app exe with unsigned version -> blocked on next launch (hash mismatch).,"If trusted by path rule (not hash), replacement at same path may run. Prefer hash/publisher trust over path rules."
T1555,Credentials from Password Stores,credential-access,No,Credentials from password stores. Accessing browser/OS credential stores via trusted tools/APIs.,none,no,N/A.,"If standalone cred extraction tool is untrusted, blocked."
T1555.003,Credentials from Web Browsers,credential-access,No,Credentials from web browsers. Browser data access.,none,no,N/A.,
T1555.004,Windows Credential Manager,credential-access,No,Windows credential manager. API-based access.,none,no,N/A.,
T1555.005,Password Managers,credential-access,No,Password managers. Application-level access.,none,no,N/A.,
T1556,Modify Authentication Process,"credential-access,defense-evasion,persistence",No,Modify authentication process. Modifies login/auth mechanisms. Some sub-techniques involve DLL loading.,none (sub-technique dependent),no,See sub-techniques.,
T1556.001,Domain Controller Authentication,"credential-access,defense-evasion,persistence",Yes,Domain controller auth DLL. Password filter loaded by lsass. Must be trusted.,DLL-control,yes,Untrusted password filter DLL on DC -> blocked.,DC/server focused.
T1556.002,Password Filter DLL,"credential-access,defense-evasion,persistence",Yes,Password filter DLL. Loaded by lsass on password change. Must be trusted.,DLL-control,yes,Untrusted password filter DLL -> blocked.,Reg mod not prevented.
T1556.005,Reversible Encryption,"credential-access,defense-evasion,persistence",No,Reversible encryption. AD policy change. No file execution.,none,no,N/A.,AD security.
T1556.006,Multi-Factor Authentication,"credential-access,defense-evasion,persistence",No,MFA interception. Identity plane.,none,no,N/A.,MFA security.
T1556.007,Hybrid Identity,"credential-access,defense-evasion,persistence",No,Hybrid identity. Cloud/identity plane.,none,no,N/A.,
T1556.008,Network Provider DLL,"credential-access,defense-evasion,persistence",Yes,Network provider DLL. Loaded at logon. Must be trusted.,DLL-control,yes,Untrusted network provider DLL -> blocked.,Reg mod not prevented.
T1557,Adversary-in-the-Middle,"collection,credential-access",Yes,"AitM tools (Responder, Inveigh, ettercap, bettercap) must be trusted. Blocked by default-deny. Inveigh as PS script: restricted by script control + PS blocklist for non-admins.",default-deny + script-control + blocklist-metarule,yes,1) Responder.exe -> blocked (untrusted). 2) Inveigh.ps1 -> blocked by script control. 3) Blocklist PS for non-admins -> prevents Inveigh via PS.,
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,"collection,credential-access",Yes,LLMNR/NBT-NS poisoning tools blocked by default-deny. Inveigh restricted by script control + PS blocklist.,default-deny + script-control + blocklist-metarule,yes,Responder -> blocked. Inveigh.ps1 -> script control. Blocklist PS for non-admins.,
T1557.002,ARP Cache Poisoning,"collection,credential-access",Yes,"ARP spoofing tools (arpspoof, ettercap, bettercap) must be trusted. Blocked by default-deny.",default-deny,yes,ARP spoofing tool not allowlisted -> blocked.,No built-in Windows ARP spoofing capability.
T1557.003,DHCP Spoofing,"collection,credential-access",No,DHCP spoofing. Network-level.,none,no,N/A.,
T1558,Steal or Forge Kerberos Tickets,credential-access,No,Steal/forge Kerberos tickets. Network/AD protocol operations.,none,no,N/A.,"If Kerberoasting tool is untrusted, tool blocked."
T1558.001,Golden Ticket,credential-access,No,Kerberos ticket forgery achievable with trusted tools/APIs. Mimikatz blocked.,default-deny,partial,mimikatz -> blocked.,Technique achievable with trusted tools.
T1558.002,Silver Ticket,credential-access,No,Same as golden ticket.,default-deny,partial,Tool -> blocked.,
T1558.003,Kerberoasting,credential-access,No,Kerberoasting. Can be done with trusted PowerShell + .NET.,none,no,N/A.,Trusted interpreter + API = not caught.
T1558.004,AS-REP Roasting,credential-access,No,AS-REP roasting. Same principle as Kerberoasting.,none,no,N/A.,
T1559,Inter-Process Communication,execution,No,"IPC mechanisms (COM, DDE, pipes) between trusted processes not monitored. New file loads from IPC ARE checked.",none,no,N/A - IPC between trusted processes outside scope.,New DLL/exe loads from IPC are checked.
T1559.001,Component Object Model,execution,Yes,COM server DLLs must be trusted to load. Untrusted COM DLL blocked when COM object instantiated. regsvr32 can be blocklisted to prevent COM scriptlet registration.,DLL-control + blocklist,yes,1) Register COM object pointing to unsigned DLL -> DLL blocked when instantiated. 2) Blocklist regsvr32.exe.,COM automation between already-trusted processes not monitored — that's IPC inside trusted context.
T1559.002,Dynamic Data Exchange,execution,Yes,DDE in Office launches processes. Any process/payload launched via DDE must be trusted. Untrusted payload blocked.,default-deny + blocklist,yes,"DDE in Word launching cmd /c C:\Temp\payload.exe -> cmd runs (trusted), payload.exe blocked.",DDE data exchange between trusted apps not monitored.
T1560,Archive Collected Data,collection,No,Archive collected data (parent). Using archive tools. 7z/rar/zip tools must be trusted.,default-deny (tool),partial,Untrusted archiver -> blocked. Built-in tar/Compress-Archive trusted.,
T1560.001,Archive via Utility,collection,Yes,"Standalone archiving tools (7z, WinRAR, rar) blocked by default-deny. Built-in tar.exe restrictable via blocklist. PowerShell Compress-Archive available if PS trusted.",default-deny + blocklist-metarule,yes,1) 7z.exe not allowlisted -> blocked. 2) Blocklist tar.exe for non-admins.,PowerShell Compress-Archive available if PS not blocklisted for user.
T1560.002,Archive via Library,collection,No,Archive via library. Using .NET/Python libraries from trusted process. In-process.,none,no,N/A.,
T1560.003,Archive via Custom Method,collection,No,Archive via custom method. Custom code in trusted process.,none,no,N/A.,
T1561,Disk Wipe,impact,Yes,Wiper tools blocked by default-deny. format.com restrictable via blocklist metarule.,default-deny + blocklist-metarule,yes,1) Custom wiper -> blocked. 2) Blocklist format.com for non-admins.,Direct disk access APIs from trusted process not caught. Blocklist limits tool availability.
T1561.001,Disk Content Wipe,impact,Yes,Disk content wipe tools blocked. Restrictable via blocklist.,default-deny + blocklist-metarule,yes,Custom wiper -> blocked. Blocklist format.com.,
T1561.002,Disk Structure Wipe,impact,Yes,MBR/disk structure wipe tools blocked by default-deny.,default-deny + blocklist-metarule,yes,Standalone MBR wiper -> blocked.,Direct disk access from trusted process not caught.
T1562,Impair Defenses,defense-evasion,Yes,Airlock agent has kernel-driver-based tamper protection. User-mode attempts to stop/modify the agent are prevented.,agent-tamper-protection,yes,Attempt to kill/stop Airlock service -> kernel driver prevents. Untrusted tools used to disable other security software -> tools blocked.,Kernel-level attacks may bypass protection. Agent tamper protection is for user-mode tampering.
T1562.001,Disable or Modify Tools,defense-evasion,Yes,Disable or modify tools. Airlock agent protected by kernel driver. Attacker cannot stop/modify agent from user mode. Tools used to disable other security tools must be trusted.,agent-tamper-protection + default-deny,yes,1) Attempt to kill Airlock service -> protected by kernel driver. 2) Untrusted tool to disable Defender -> tool blocked.,"If attacker has kernel access, protection may be bypassed."
T1562.002,Disable Windows Event Logging,defense-evasion,Yes,wevtutil.exe and auditpol.exe: restrict via blocklist metarule for non-admins.,blocklist-metarule,yes,Metarule: blocklist wevtutil.exe AND auditpol.exe for non-admins.,PowerShell and registry-based log disabling still possible if those tools are trusted.
T1562.003,Impair Command History Logging,defense-evasion,No,Impair command history logging. PS/shell config. Data operation.,none,no,N/A.,
T1562.004,Disable or Modify System Firewall,defense-evasion,Yes,netsh.exe: restrict via blocklist metarule for non-admins. Prevents firewall rule manipulation.,blocklist-metarule,yes,Metarule: original_filename 'netsh' AND user NOT admin -> blocks netsh advfirewall.,PowerShell Set-NetFirewallProfile available if PS trusted.
T1562.006,Indicator Blocking,defense-evasion,No,Indicator blocking. Preventing security tool data collection. Behavioral.,none,no,N/A.,
T1562.009,Safe Mode Boot,defense-evasion,No,Safe mode boot may prevent Airlock kernel driver from loading depending on driver start type. Agent behavior in safe mode needs validation.,none (conditional),partial,Test Airlock agent behavior in safe mode — does the kernel driver load?,"Safe mode is an operational concern. If driver doesn't load in safe mode, no enforcement."
T1562.010,Downgrade Attack,defense-evasion,No,Downgrade attack. Forcing older versions of protocols/tools. No file execution.,none,no,N/A.,
T1562.011,Spoof Security Alerting,defense-evasion,No,Spoof security alerting. Manipulating alert/log content. Behavioral.,none,no,N/A.,
T1563,Remote Service Session Hijacking,lateral-movement,No,Remote service session hijacking. Taking over existing session. No new file execution.,none,no,N/A.,
T1563.002,RDP Hijacking,lateral-movement,No,RDP hijacking. Session takeover. No new file execution.,none,no,N/A.,"Post-hijack, Airlock enforces."
T1564,Hide Artifacts,defense-evasion,No,Hide artifacts (parent). Hiding files/processes/users. Cosmetic. Doesn't affect file trust.,none,no,N/A.,Hidden files still hashed and checked if executed.
T1564.001,Hidden Files and Directories,defense-evasion,Yes,Hidden files still hashed and checked when executed. Hidden attribute doesn't affect Airlock enforcement.,default-deny,yes,attrib +h malware.exe -> execute -> blocked.,
T1564.002,Hidden Users,defense-evasion,No,Hidden users. Identity operation.,none,no,N/A.,
T1564.003,Hidden Window,defense-evasion,No,Process with hidden window. Binary must be trusted but window visibility is cosmetic.,default-deny,partial,N/A.,Window visibility doesn't affect enforcement.
T1564.004,NTFS File Attributes,defense-evasion,No,NTFS alternate data streams. Exe stored in ADS may or may not be intercepted by Airlock kernel driver at execution time. Needs lab validation.,default-deny (conditional),partial,"Test: store exe in ADS, execute via wmic/rundll32 -> validate Airlock intercepts.",Uncertain coverage. Treat as not covered until validated.
T1564.005,Hidden File System,defense-evasion,No,Hidden file system. Execution from hidden FS should be intercepted by kernel driver but needs validation.,default-deny,partial,N/A.,Needs validation.
T1564.006,Run Virtual Instance,defense-evasion,Yes,"VM software (QEMU, VirtualBox) must be allowlisted. If not trusted, blocked entirely.",default-deny,yes,QEMU.exe not allowlisted -> blocked. VirtualBox not allowlisted -> blocked.,"If VM software is legitimately trusted, anything inside the VM is uncontrolled by host Airlock agent."
T1564.007,VBA Stomping,defense-evasion,No,VBA stomping. Modifying VBA macro code in Office docs. Macro runs inside trusted Office.,none,no,N/A.,Dropped payloads blocked.
T1564.008,Email Hiding Rules,defense-evasion,No,Email hiding rules. Outlook rules. Data operation.,none,no,N/A.,
T1564.010,Process Argument Spoofing,defense-evasion,No,Process argument spoofing. Modifying command line after process creation. In-process behavior.,none,no,N/A.,
T1564.011,Ignore Process Interrupts,defense-evasion,No,Ignore process interrupts. Signal handling. In-process.,none,no,N/A.,
T1564.012,File/Path Exclusions,defense-evasion,No,File/path exclusions. Adding exclusions to security tools. Config operation.,none,no,N/A.,Airlock doesn't have user-configurable exclusions that could be abused this way.
T1565,Data Manipulation,impact,No,Data manipulation. Modifying data. Data operation from trusted process.,none,no,N/A.,
T1565.001,Stored Data Manipulation,impact,No,Stored data manipulation. Data operation.,none,no,N/A.,
T1565.002,Transmitted Data Manipulation,impact,No,Transmitted data manipulation. Network.,none,no,N/A.,
T1565.003,Runtime Data Manipulation,impact,No,Runtime data manipulation. In-process.,none,no,N/A.,
